177.190.197.123:3128,HTTP/HTTPS
47.95.36.86:8081,HTTP
189.112.11.60:8082,HTTPS
172.245.177.231:1080,HTTP
190.223.192.224:8080,HTTP
201.18.62.162:8080,HTTP
107.172.10.24:1080,HTTP
34.249.20.9:3128,HTTP/HTTPS
23.91.101.185:8888,HTTP
123.138.89.133:9999,HTTP/HTTPS
118.99.96.59:8080,HTTP
95.24.130.204:9999,Socks4
183.88.69.122:8080,HTTP/HTTPS
114.215.95.188:3128,HTTP/HTTPS
62.140.252.21:8081,HTTP
201.249.88.227:80,HTTP/HTTPS
221.7.255.168:8080,HTTP/HTTPS
190.237.94.83:8080,HTTP
178.132.3.175:1080,HTTP/HTTPS
103.78.252.30:80,HTTP
52.69.20.245:3128,HTTP
181.193.60.194:53281,HTTP
177.190.197.123:3128,HTTP/HTTPS
201.217.245.108:8080,HTTP
78.160.160.197:80,HTTP
47.95.36.86:8081,HTTP
124.193.85.88:8080,HTTP/HTTPS
189.112.11.60:8082,HTTPS
172.245.177.231:1080,HTTP
190.223.192.224:8080,HTTP
107.172.10.24:1080,HTTP
34.249.20.9:3128,HTTP/HTTPS
23.91.101.185:8888,HTTP
123.138.89.133:9999,HTTP/HTTPS
118.99.96.59:8080,HTTP
95.24.130.204:9999,Socks4
183.88.69.122:8080,HTTP/HTTPS
114.215.95.188:3128,HTTP/HTTPS
62.140.252.21:8081,HTTP
201.249.88.227:80,HTTP/HTTPS
52.69.20.245:80,HTTP
52.69.20.245:3128,HTTP
162.243.160.127:8080,HTTP/HTTPS
201.18.62.162:8080,HTTP
92.111.247.202:8080,HTTP/HTTPS
181.193.60.194:53281,HTTP
177.190.197.123:3128,HTTP/HTTPS
201.217.245.108:8080,HTTP
78.160.160.197:80,HTTP
47.95.36.86:8081,HTTP
124.193.85.88:8080,HTTP/HTTPS
189.112.11.60:8082,HTTPS
172.245.177.231:1080,HTTP
190.223.192.224:8080,HTTP
107.172.10.24:1080,HTTP
34.249.20.9:3128,HTTP/HTTPS
23.91.101.185:8888,HTTP
123.138.89.133:9999,HTTP/HTTPS
118.99.96.59:8080,HTTP
95.24.130.204:9999,Socks4
136.243.152.219:8080,HTTP
52.69.20.245:80,HTTP
182.253.176.33:8080,HTTP/HTTPS
52.69.20.245:3128,HTTP
162.243.160.127:8080,HTTP/HTTPS
201.18.62.162:8080,HTTP
92.111.247.202:8080,HTTP/HTTPS
181.193.60.194:53281,HTTP
177.190.197.123:3128,HTTP/HTTPS
201.217.245.108:8080,HTTP
78.160.160.197:80,HTTP
47.95.36.86:8081,HTTP
124.193.85.88:8080,HTTP/HTTPS
189.112.11.60:8082,HTTPS
172.245.177.231:1080,HTTP
190.223.192.224:8080,HTTP
107.172.10.24:1080,HTTP
34.249.20.9:3128,HTTP/HTTPS
23.91.101.185:8888,HTTP
123.138.89.133:9999,HTTP/HTTPS
136.243.152.219:8080,HTTP
52.69.20.245:80,HTTP
182.253.176.33:8080,HTTP/HTTPS
52.69.20.245:3128,HTTP
220.249.185.178:9797,HTTP/HTTPS
212.126.116.30:8080,HTTP
1.0.186.49:8080,HTTP
103.229.86.58:8080,HTTPS
162.243.160.127:8080,HTTP/HTTPS
201.18.62.162:8080,HTTP
